CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SBDO;MS0008;DOURADOS;DOURADOS;MS;22° 12' 2'' S;54° 55' 32'' W;458 m
SBEG;AM0001;EDUARDO GOMES;MANAUS;AM;3° 2' 28'' S;60° 3' 2'' W;80 m
SBEK;PA0011;JACAREACANGA;JACAREACANGA;PA;6° 14' 7'' S;57° 46' 33'' W;90 m
SBFI;PR0002;CATARATAS;FOZ DO IGUAÇU;PR;25° 36' 1'' S;54° 29' 6'' W;240 m
SBFL;SC0001;HERCÍLIO LUZ;FLORIANÓPOLIS;SC;27° 40' 13'' S;48° 33' 9'' W;5 m
SBFN;PE0003;FERNANDO DE NORONHA;FERNANDO DE NORONHA;PE;3° 51' 17'' S;32° 25' 42'' W;58 m
SBFZ;CE0001;PINTO MARTINS;FORTALEZA;CE;3° 46' 33'' S;38° 31' 56'' W;25 m
SBGL;RJ0001;RIO DE JANEIRO/GALEÃO – ANTÔNIO CARLOS JOBIM;RIO DE JANEIRO;RJ;22° 48' 36'' S;43° 15' 2'' W;9 m
SBGM;RO0006;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;RO;10° 47' 18'' S;65° 16' 54'' W;146 m
SBGO;GO0001;SANTA GENOVEVA/GOIÂNIA;GOIÂNIA;GO;16° 37' 57'' S;49° 13' 16'' W;747 m
SBGR;SP0002;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;SP;23° 26' 8'' S;46° 28' 23'' W;750 m
SSGG;PR0009;AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOMÁS DE FARIA;GUARAPUAVA;PR;25° 23' 18'' S;51° 31' 25'' W;1065 m
SBGV;MG0032;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;18° 53' 49'' S;41° 59' 10'' W;171 m
SBGW;SP0076;GUARATINGUETÁ;GUARATINGUETÁ;SP;22° 47' 30'' S;45° 12' 16'' W;537 m
SBHT;PA0003;ALTAMIRA;ALTAMIRA;PA;3° 15' 3'' S;52° 15' 8'' W;112 m
SBIC;AM0012;ITACOATIARA;ITACOATIARA;AM;3° 7' 35'' S;58° 28' 54'' W;43 m
SBIH;PA0010;ITAITUBA;ITAITUBA;PA;4° 14' 32'' S;56° 0' 3'' W;33 m
SBIL;BA0004;BAHIA - JORGE AMADO;ILHÉUS;BA;14° 48' 54'' S;39° 2' 0'' W;4 m
SBIP;MG0007;USIMINAS;SANTANA DO PARAÍSO;MG;19° 28' 14'' S;42° 29' 17'' W;239 m
SBIZ;MA0002;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;5° 31' 50'' S;47° 27' 30'' W;131 m
SBJD;SP0031;COMANDANTE ROLIM ADOLFO AMARO;JUNDIAÍ;SP;23° 10' 54'' S;46° 56' 37'' W;753 m
SBJF;MG0016;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;21° 47' 35'' S;43° 23' 8'' W;911 m
SBJI;RO0005;JI-PARANÁ;JI-PARANÁ;RO;10° 52' 14'' S;61° 50' 48'' W;182 m
SBJP;PB0001;PRESIDENTE CASTRO PINTO;JOÃO PESSOA;PB;7° 8' 54'' S;34° 57' 1'' W;66 m
SBJR;RJ0005;JACAREPAGUÁ - ROBERTO MARINHO;RIO DE JANEIRO;RJ;22° 59' 15'' S;43° 22' 12'' W;3 m
SBJU;CE0002;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;7° 13' 9'' S;39° 16' 10'' W;409 m
SBJV;SC0004;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;26° 13' 23'' S;48° 47' 52'' W;5 m
SBKG;PB0003;PRESIDENTE JOÃO SUASSUNA;CAMPINA GRANDE;PB;7° 16' 9'' S;35° 53' 42'' W;502 m
SBKP;SP0003;VIRACOPOS;CAMPINAS;SP;23° 0' 25'' S;47° 8' 4'' W;661 m
SBLE;BA0006;HORÁCIO DE MATTOS;LENÇÓIS;BA;12° 28' 56'' S;41° 16' 37'' W;506 m
SBLJ;SC0007;LAGES;LAGES;SC;27° 46' 56'' S;50° 16' 54'' W;934 m
SBLO;PR0003;GOVERNADOR JOSÉ RICHA;LONDRINA;PR;23° 19' 49'' S;51° 8' 12'' W;569 m
SBLP;BA0037;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13° 15' 41'' S;43° 24' 27'' W;443 m
SBMA;PA0004;JOÃO CORREA DA ROCHA;MARABÁ;PA;5° 22' 5'' S;49° 8' 17'' W;109 m
SBMD;PA0009;MONTE DOURADO;ALMEIRIM;PA;0° 53' 23'' S;52° 36' 8'' W;206 m
SBME;RJ0004;MACAÉ;MACAÉ;RJ;22° 20' 34'' S;41° 45' 50'' W;2 m
SBMG;PR0004;SÍLVIO NAME JÚNIOR;MARINGÁ;PR;23° 28' 46'' S;52° 0' 44'' W;549 m
SBMK;MG0004;MÁRIO RIBEIRO;MONTES CLAROS;MG;16° 42' 22'' S;43° 49' 19'' W;668 m
SBML;SP0014;FRANK MILOYE MILENKOVICH;MARÍLIA;SP;22° 11' 44'' S;49° 55' 37'' W;650 m
SBMO;AL0001;ZUMBI DOS PALMARES;MACEIÓ;AL;9° 30' 39'' S;35° 47' 30'' W;118 m
SBMQ;AP0001;ALBERTO ALCOLUMBRE;MACAPÁ;AP;0° 3' 3'' N;51° 4' 13'' W;17 m
SBMS;RN0002;DIX-SEPT ROSADO;MOSSORÓ;RN;5° 11' 45'' S;37° 21' 42'' W;23 m
SBMT;SP0007;CAMPO DE MARTE;SÃO PAULO;SP;23° 30' 24'' S;46° 38' 2'' W;722 m
SBMY;AM0015;MANICORÉ;MANICORÉ;AM;5° 49' 1'' S;61° 17' 2'' W;53 m
SBNF;SC0002;MINISTRO VICTOR KONDER;NAVEGANTES;SC;26° 52' 43'' S;48° 39' 3'' W;5 m
SBNM;RS0008;SANTO ÂNGELO;SANTO ÂNGELO;RS;28° 16' 54'' S;54° 10' 6'' W;322 m
SBOI;AP0002;OIAPOQUE;OIAPOQUE;AP;3° 51' 41'' N;51° 47' 46'' W;19 m
SBPA;RS0001;SALGADO FILHO;PORTO ALEGRE;RS;29° 59' 41'' S;51° 10' 16'' W;4 m
SBPB;PI0002;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO;PARNAÍBA;PI;2° 53' 38'' S;41° 43' 49'' W;5 m
SBPC;MG0018;EMBAIXADOR WALTHER MOREIRA SALLES;POÇOS DE CALDAS;MG;21° 50' 16'' S;46° 33' 58'' W;1261 m
SBPF;RS0006;LAURO KURTZ;PASSO FUNDO;RS;28° 14' 39'' S;52° 19' 42'' W;725 m
SBPJ;TO0001;BRIGADEIRO LYSIAS RODRIGUES;PALMAS;TO;10° 17' 24'' S;48° 21' 28'' W;236 m
SBPK;RS0005;JOÃO SIMÕES LOPES NETO;PELOTAS;RS;31° 42' 58'' S;52° 19' 52'' W;18 m
SBPL;PE0002;SENADOR NILO COELHO;PETROLINA;PE;9° 22' 3'' S;40° 33' 49'' W;384 m
SDPE;TO0003;PORTO NACIONAL;PORTO NACIONAL;TO;10° 43' 1'' S;48° 24' 1'' W;265 m
SBPP;MS0005;PONTA PORÃ;PONTA PORÃ;MS;22° 32' 59'' S;55° 42' 11'' W;657 m
SBPR;MG0005;CARLOS PRATES;BELO HORIZONTE;MG;19° 54' 33'' S;43° 59' 21'' W;928 m
SBPS;BA0002;PORTO SEGURO;PORTO SEGURO;BA;16° 26' 17'' S;39° 4' 40'' W;51 m
SBPV;RO0001;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PORTO VELHO;RO;8° 42' 49'' S;63° 54' 10'' W;88 m
SBRB;AC0001;PLÁCIDO DE CASTRO;RIO BRANCO;AC;9° 52' 6'' S;67° 53' 53'' W;193 m
SBRD;MT0004;RONDONÓPOLIS - MAESTRO MARINHO FRANCO;RONDONÓPOLIS;MT;16° 35' 17'' S;54° 43' 18'' W;447 m
SBRF;PE0001;GUARARAPES - GILBERTO FREYRE;RECIFE;PE;8° 7' 35'' S;34° 55' 22'' W;10 m
SBRJ;RJ0002;SANTOS DUMONT;RIO DE JANEIRO;RJ;22° 54' 36'' S;43° 9' 45'' W;3 m
SBRP;SP0004;LEITE LOPES;RIBEIRÃO PRETO;SP;21° 8' 11'' S;47° 46' 36'' W;550 m
SBSG;RN0001;GOVERNADOR ALUIZIO ALVES;SÃO GONÇALO DO AMARANTE;RN;5° 46' 8'' S;35° 21' 59'' W;83 m
SBSJ;SP0008;PROFESSOR URBANO ERNESTO STUMPF;SÃO JOSÉ DOS CAMPOS;SP;23° 13' 44'' S;45° 52' 16'' W;647 m
SBSL;MA0001;MARECHAL CUNHA MACHADO;SÃO LUÍS;MA;2° 35' 13'' S;44° 14' 10'' W;54 m
SBSM;RS0003;SANTA MARIA;SANTA MARIA;RS;29° 42' 39'' S;53° 41' 32'' W;88 m
SBSN;PA0002;MAESTRO WILSON FONSECA;SANTARÉM;PA;2° 25' 29'' S;54° 47' 9'' W;60 m
SBSP;SP0001;CONGONHAS;SÃO PAULO;SP;23° 37' 34'' S;46° 39' 23'' W;802 m
SBSR;SP0006;PROFESSOR ERIBERTO MANOEL REINO;SÃO JOSÉ DO RIO PRETO;SP;20° 48' 58'' S;49° 24' 17'' W;544 m
SBSV;BA0001;DEPUTADO LUÍS EDUARDO MAGALHÃES;SALVADOR;BA;12° 54' 31'' S;38° 19' 21'' W;20 m
SBTB;PA0012;TROMBETAS;ORIXIMINÁ;PA;1° 29' 23'' S;56° 23' 49'' W;51 m
SBTD;PR0008;LUIZ DALCANALE FILHO;TOLEDO;PR;24° 41' 7'' S;53° 41' 47'' W;562 m
SBTE;PI0001;SENADOR PETRÔNIO PORTELLA;TERESINA;PI;5° 3' 38'' S;42° 49' 28'' W;67 m
SBTF;AM0004;TEFÉ;TEFÉ;AM;3° 22' 49'' S;64° 43' 31'' W;57 m
SBTG;MS0006;TRÊS LAGOAS;TRÊS LAGOAS;MS;20° 45' 5'' S;51° 40' 49'' W;323 m
SBTK;AC0004;TARAUACÁ;TARAUACÁ;AC;8° 9' 17'' S;70° 46' 58'' W;197 m
SSTE;RS0011;TORRES;TORRES;RS;29° 24' 54'' S;49° 48' 36'' W;9 m
SBTT;AM0005;TABATINGA;TABATINGA;AM;4° 15' 2'' S;69° 56' 16'' W;80 m
SBTU;PA0007;TUCURUÍ;TUCURUÍ;PA;3° 46' 37'' S;49° 43' 11'' W;253 m
SBUA;AM0003;SÃO GABRIEL DA CACHOEIRA;SÃO GABRIEL DA CACHOEIRA;AM;0° 8' 53'' S;66° 59' 9'' W;76 m
SBUF;BA0007;PAULO AFONSO;PAULO AFONSO;BA;9° 24' 4'' S;38° 15' 4'' W;269 m
SBUG;RS0012;RUBEM BERTA;URUGUAIANA;RS;29° 47' 0'' S;57° 2' 13'' W;78 m
SBUL;MG0002;TEN CEL AVIADOR CÉSAR BOMBONATO;UBERLÂNDIA;MG;18° 53' 1'' S;48° 13' 31'' W;943 m
SBUR;MG0009;MARIO DE ALMEIDA FRANCO;UBERABA;MG;19° 45' 53'' S;47° 57' 58'' W;809 m
SBVG;MG0019;MAJOR BRIGADEIRO TROMPOWSKY;VARGINHA;MG;21° 35' 20'' S;45° 28' 24'' W;922 m
SBVH;RO0003;VILHENA;VILHENA;RO;12° 41' 39'' S;60° 5' 50'' W;615 m
