Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas;;;Outros;
CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;;;;Portaria nº 7.445/2022;"PORTARIA Nº 4601/2021
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
SBBH;MG0003;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;19° 51' 7'' S;43° 57' 2'' W;789 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;2364 m;45 m;PCN 44/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1295;0;0;0;PA2017-1295;;;;AP-0;Classe II;2ª;4C;NPA(13)/NINST(31);N/A;PA2018-2829 / PA2019-1481;-;PA2018-2829 / PA2019-1481;-;-;-;-;;-
SBBI;PR0006;BACACHERI;CURITIBA;PR;25° 24' 12'' S;49° 14' 1'' W;932 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;1390 m;31 m;PCN 21/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0533;0;0;0;PA2016-0533;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBBP;SP0036;ESTADUAL ARTHUR SIQUEIRA;BRAGANÇA PAULISTA;SP;22° 58' 45'' S;46° 32' 15'' W;893 m;VFR Diurno/Noturno;-;-; 16/34;1200 m;30 m;PCN 16/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3805;0;0;0;PA2018-3805;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBBR;DF0001;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÍLIA;DF;15° 52' 16'' S;47° 55' 7'' W;1066 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11L/29R;3200 m;45 m;PCN 76/F/B/X/T;Asfalto; 11R/29L;3300 m;45 m;PCN 68/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2012-2422;0;0;0;PA2012-2422;;;;AP-3;Classe IV;1ª (*);4E;PA1;N/A;PA2015-2416 / PA2016-0553;-;PA2015-2416 / PA2016-0553;-;-;-;-;;-
SBBU;SP0017;BAURU;BAURU;SP;22° 20' 37'' S;49° 3' 14'' W;617 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 14/32;1501 m;35 m;PCN 13/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3676;0;0;0;PA2017-3676;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBBV;RR0001;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR;2° 50' 29'' N;60° 41' 32'' W;84 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX/CARGA; 08/26;2700 m;45 m;PCN 38/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0273;0;0;0;PA2018-0273;;;;AP-1;Classe II;1ª;4C;PA1;30;-;PA2016-0908 / PA2016-2636;-;PA2016-0908 / PA2016-2636;-;-;-;X;-
SBBW;MT0008;BARRA DO GARÇAS;BARRA DO GARÇAS;MT;15° 51' 39'' S;52° 23' 22'' W;350 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1598 m;30 m;PCN 20/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-3033;0;0;0;PA2016-3033;;;;AP-1;Classe I;-;2C;"NPA(07;25)";N/A;PA2018-3446;-;PA2018-3446;-;-;-;-;X;-
SBCA;PR0005;CORONEL ADALBERTO MENDES DA SILVA;CASCAVEL;PR;25° 0' 8'' S;53° 30' 7'' W;759 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1615 m;30 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-3092;0;0;0;PA2015-3092;;;;AP-1;Classe I;3ª;3C;NPA;94;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBCB;RJ0003;CABO FRIO;CABO FRIO;RJ;22° 55' 15'' S;42° 4' 17'' W;7 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 10/28;2550 m;45 m;PCN 76/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2127;0;0;0;PA2019-2127;;;;AP-1;Classe II;2ª;4E;NPA;N/A;PA2020-1309;-;PA2020-1309;-;-;-;-;;-
SBCD;SC0006;CARLOS ALBERTO DA COSTA NEVES;CAÇADOR;SC;26° 47' 23'' S;50° 56' 23'' W;1029 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1625 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD2005-0406;PA2013-3195;0;0;PD2005-0406;PA2013-3195;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
