Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas;;;Outros;
CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;DESIGNAÇÃO;COMPRIMENTO;LARGURA;RESISTÊNCIA;SUPERFÍCIE;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;;;;Portaria nº 7.445/2022;"PORTARIA Nº 4601/2021
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
SBGR;SP0002;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;SP;23° 26' 8'' S;46° 28' 23'' W;750 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 9L/27R;3700 m;45 m;PCN 77/F/B/W/T;Asfalto; 9R/27L;3000 m;45 m;PCN 77/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2019-3642;0;0;0;PA2019-3642;;;;AP-3;Classe IV;1ª (*);4E;"PA3-A(09R)/ PA2(09L)/ PA1(27L;27R)";N/A;PA2013-2987;-;PA2013-2987;-;-;-;-;;-
SSGG;PR0009;AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOMÁS DE FARIA;GUARAPUAVA;PR;25° 23' 18'' S;51° 31' 25'' W;1065 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 08/26;1365 m;30 m;PCN 23/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5002;0;0;0;PA2021-5002;;;;AP-1;Classe I;4ª;2C;NPA;N/A;PA2021-6333;-;PA2021-6333;-;-;-;-;;-
SBGV;MG0032;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;18° 53' 49'' S;41° 59' 10'' W;171 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1701 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0908;0;0;0;PA2015-0908;;;;AP-1;Classe I;3ª;2C;NPA;N/A;PA2019-1077;-;PA2019-1077;-;-;-;-;;-
SBGW;SP0076;GUARATINGUETÁ;GUARATINGUETÁ;SP;22° 47' 30'' S;45° 12' 16'' W;537 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1551 m;30 m;PCN 15/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1020;0;0;0;PA2020-1020;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-
SBHT;PA0003;ALTAMIRA;ALTAMIRA;PA;3° 15' 3'' S;52° 15' 8'' W;112 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;2003 m;30 m;PCN 36/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2887;0;0;0;PA2017-2887;;;;AP-1;Classe I;2ª;4C;NPA;95;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;X;-
SBIC;AM0012;ITACOATIARA;ITACOATIARA;AM;3° 7' 35'' S;58° 28' 54'' W;43 m;VFR Diurno e IFR Diurno;-;-; 14/32;1515 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2359;0;0;0;PA2018-2359;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SBIH;PA0010;ITAITUBA;ITAITUBA;PA;4° 14' 32'' S;56° 0' 3'' W;33 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;1700 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1747;0;0;0;PA2020-1747;;;;AP-1;Classe I;3ª;3C;NPA;29;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBIL;BA0004;BAHIA - JORGE AMADO;ILHÉUS;BA;14° 48' 54'' S;39° 2' 0'' W;4 m;VFR Diurno/Noturno;-;-; 11/29;1577 m;45 m;PCN 50/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2422;0;0;0;PA2020-2422;;;;AP-1;Classe II;2ª;4C;NPA;23;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBIP;MG0007;USIMINAS;SANTANA DO PARAÍSO;MG;19° 28' 14'' S;42° 29' 17'' W;239 m;VFR Diurno e IFR Diurno/Noturno;-;-; 05/23;2005 m;45 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7095;0;0;0;PA2022-7095;;;;AP-1;Classe I;3ª;3C;NPA;32;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBIZ;MA0002;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;5° 31' 50'' S;47° 27' 30'' W;131 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1798 m;45 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2252;0;0;0;PA2018-2252;;;;AP-1;Classe II;2ª;4C;NPA;46;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBJD;SP0031;COMANDANTE ROLIM ADOLFO AMARO;JUNDIAÍ;SP;23° 10' 54'' S;46° 56' 37'' W;753 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;1400 m;30 m;PCN 21/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3807;0;0;0;PA2018-3807;;;;AP-1;Classe I;3ª;-;NPA;-;-;-;-;-;-;-;-;;-
SBJF;MG0016;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;21° 47' 35'' S;43° 23' 8'' W;911 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1535 m;30 m;PCN 32/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1921;0;0;0;PA2020-1921;;;;AP-0;Classe I;3ª;3C;NPA;29;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBJI;RO0005;JI-PARANÁ;JI-PARANÁ;RO;10° 52' 14'' S;61° 50' 48'' W;182 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1800 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5871;0;0;0;PA2021-5871;;;;AP-1;Classe I;3ª;3C;NPA;N/A;PA2021-5942;-;PA2021-5942;-;-;-;-;X;-
SBJP;PB0001;PRESIDENTE CASTRO PINTO;JOÃO PESSOA;PB;7° 8' 54'' S;34° 57' 1'' W;66 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 16/34;2515 m;45 m;PCN 52/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1203;0;0;0;PA2015-1203;;;;AP-2;Classe III;2ª;4C;NPA;N/A;PA2022-7340;-;PA2022-7340;-;-;-;-;;-
SBJR;RJ0005;JACAREPAGUÁ - ROBERTO MARINHO;RIO DE JANEIRO;RJ;22° 59' 15'' S;43° 22' 12'' W;3 m;VFR Diurno/Noturno;-;-; 03/21;900 m;30 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1808;0;0;0;PA2017-1808;;;;AP-0;Classe II;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBJU;CE0002;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;7° 13' 9'' S;39° 16' 10'' W;409 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;1940 m;45 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0624;0;0;0;PA2019-0624;;;;AP-1;Classe II;2ª;4C;NPA;42;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBJV;SC0004;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;26° 13' 23'' S;48° 47' 52'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1540 m;45 m;PCN 51/F/A/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1029;0;0;0;PA2020-1029;;;;AP-1;Classe II;1ª;4C;PA1(33) / NPA(15);N/A;PA2022-7427;-;PA2022-7427;-;-;-;-;;-
SBKG;PB0003;PRESIDENTE JOÃO SUASSUNA;CAMPINA GRANDE;PB;7° 16' 9'' S;35° 53' 42'' W;502 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;1600 m;42 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0575;0;0;0;PA2016-0575;;;;AP-1;Classe I;2ª;4C;NPA;16;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBKP;SP0003;VIRACOPOS;CAMPINAS;SP;23° 0' 25'' S;47° 8' 4'' W;661 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;3240 m;45 m;PCN 56/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3677;0;0;0;PA2018-3677;;;;AP-3;Classe IV;1ª (*);4E;PA1(15) / NPA(33);N/A;PA2014-1388 / PA2018-3198 / PA2020-0552;-;PA2014-1388 / PA2018-3198 / PA2020-0552;-;-;-;-;;-
SBLE;BA0006;HORÁCIO DE MATTOS;LENÇÓIS;BA;12° 28' 56'' S;41° 16' 37'' W;506 m;VFR Diurno/Noturno;-;-; 14/32;2082 m;30 m;PCN 44/R/A/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2870;0;0;0;PA2015-2870;;;;AP-0;Classe I;3ª;3C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBLJ;SC0007;LAGES;LAGES;SC;27° 46' 56'' S;50° 16' 54'' W;934 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;1532 m;30 m;PCN 17/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1562;0;0;0;PA2016-1562;;;;AP-0;Classe I;4ª;2C;"NPA(17;35)";-;-;-;-;-;-;-;-;;-
SBLO;PR0003;GOVERNADOR JOSÉ RICHA;LONDRINA;PR;23° 19' 49'' S;51° 8' 12'' W;569 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 13/31;2100 m;45 m;PCN 43/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1601;0;0;0;PA2018-1601;;;;AP-1;Classe II;2ª;4C;NPA;N/A;PA2022-7425;-;PA2022-7425;-;-;-;-;;-
SBLP;BA0037;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13° 15' 41'' S;43° 24' 27'' W;443 m;VFR Diurno/Noturno e IFR Diurno;-;-; 18/36;1211 m;30 m;PCN 9/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBMA;PA0004;JOÃO CORREA DA ROCHA;MARABÁ;PA;5° 22' 5'' S;49° 8' 17'' W;109 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;2000 m;45 m;PCN 40/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1179;0;0;0;PA2018-1179;;;;AP-1;Classe II;2ª;4C;NPA;35;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBMD;PA0009;MONTE DOURADO;ALMEIRIM;PA;0° 53' 23'' S;52° 36' 8'' W;206 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 08/26;1800 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1922;0;0;0;PA2020-1922;;;;AP-1;Classe I;3ª;3C;NPA;8;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBME;RJ0004;MACAÉ;MACAÉ;RJ;22° 20' 34'' S;41° 45' 50'' W;2 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 06/24;1200 m;30 m;PCN 19/F/C/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3922;0;0;0;PA2019-3922;;;;AP-1;Classe I;2ª;2C;NPA;N/A;PA2021-6757;-;PA2021-6757;-;-;-;-;;-
SBMG;PR0004;SÍLVIO NAME JÚNIOR;MARINGÁ;PR;23° 28' 46'' S;52° 0' 44'' W;549 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL CARGA; 10/28;2380 m;45 m;PCN 45/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4088;0;0;0;PA2021-4088;;;;AP-1;Classe II;2ª;4D;NPA;N/A;PA2022-7199;-;PA2022-7199;-;-;-;-;;-
SBMK;MG0004;MÁRIO RIBEIRO;MONTES CLAROS;MG;16° 42' 22'' S;43° 49' 19'' W;668 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;2100 m;45 m;PCN 34/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1719;0;0;0;PA2014-1719;;;;AP-1;Classe II;2ª;4C;NPA;N/A;PA2022-7397;-;PA2022-7397;-;-;-;-;;-
SBML;SP0014;FRANK MILOYE MILENKOVICH;MARÍLIA;SP;22° 11' 44'' S;49° 55' 37'' W;650 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1700 m;35 m;PCN 35/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1580;0;0;0;PA2017-1580;;;;AP-1;Classe I;3ª;3C;NPA;20;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBMO;AL0001;ZUMBI DOS PALMARES;MACEIÓ;AL;9° 30' 39'' S;35° 47' 30'' W;118 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX; 12/30;2602 m;45 m;PCN 46/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6020;0;0;0;PA2021-6020;;;;AP-2;Classe III;1ª;4E;PA1(12) / NPA(30);N/A;PA2022-7249/PA2020-0328 / PA2021-4215;-;PA2022-7249/PA2020-0328 / PA2021-4215;-;-;-;-;;-
SBMQ;AP0001;ALBERTO ALCOLUMBRE;MACAPÁ;AP;0° 3' 3'' N;51° 4' 13'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX/CARGA; 08/26;1800 m;45 m;PCN 48/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3680;0;0;0;PA2017-3680;;;;AP-1;Classe II;2ª;4C;NPA;50;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBMS;RN0002;DIX-SEPT ROSADO;MOSSORÓ;RN;5° 11' 45'' S;37° 21' 42'' W;23 m;VFR Diurno e IFR Diurno/Noturno;-;-; 05/23;1900 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4773;0;0;0;PA2021-4773;;;;AP-1;Classe I;4ª;2C;NPA;N/A;PA2019-0759;-;PA2019-0759;-;-;-;-;;-
SBMT;SP0007;CAMPO DE MARTE;SÃO PAULO;SP;23° 30' 24'' S;46° 38' 2'' W;722 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;45 m;PCN 16/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;11  28;quadrado;25 m x25 m;4 t;Paralelepípedo;PA2015-2143;0;0;0;PA2015-2143;;;;AP-0;Classe I;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBMY;AM0015;MANICORÉ;MANICORÉ;AM;5° 49' 1'' S;61° 17' 2'' W;53 m;VFR Diurno;-;-; 05/23;1265 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2011-1706;0;0;0;PA2011-1706;;;;AP-1;Classe I;-;2C;NINST;7;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBNF;SC0002;MINISTRO VICTOR KONDER;NAVEGANTES;SC;26° 52' 43'' S;48° 39' 3'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 07/25;1701 m;45 m;PCN 33/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3372;0;0;0;PA2013-3372;;;;AP-2;Classe III;2ª;4C;NPA;N/A;PA2019-3803;-;PA2019-3803;-;-;-;-;;-
SBNM;RS0008;SANTO ÂNGELO;SANTO ÂNGELO;RS;28° 16' 54'' S;54° 10' 6'' W;322 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;1625 m;30 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3072;0;0;0;PA2019-3072;;;;AP-1;Classe I;4ª;2C;NPA;N/A;PA2019-0746;-;PA2019-0746;-;-;-;-;;-
SBOI;AP0002;OIAPOQUE;OIAPOQUE;AP;3° 51' 41'' N;51° 47' 46'' W;19 m;VFR Diurno e IFR Diurno;-;-; 03/21;1200 m;30 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1984-0039;PD1993-0516;PD1993-0602;0;PD1984-0039;PD1993-0516;PD1993-0602;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;X;-
SBPA;RS0001;SALGADO FILHO;PORTO ALEGRE;RS;29° 59' 41'' S;51° 10' 16'' W;4 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11/29;2280 m;45 m;PCN 72/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1446;0;0;0;PA2014-1446;;;;AP-3;Classe IV;1ª;4E;PA2(11) / NPA(29);N/A;PA2018-3651 / PA2019-3338;-;PA2018-3651 / PA2019-3338;-;-;-;-;;-
SBPB;PI0002;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO;PARNAÍBA;PI;2° 53' 38'' S;41° 43' 49'' W;5 m;VFR Diurno/Noturno;RNS;INTL PAX; 10/28;2500 m;45 m;PCN 52/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-1946;0;0;0;PA2013-1946;;;;AP-1;Classe I;3ª;3C;NINST;9;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;-
SBPC;MG0018;EMBAIXADOR WALTHER MOREIRA SALLES;POÇOS DE CALDAS;MG;21° 50' 16'' S;46° 33' 58'' W;1261 m;VFR Diurno e IFR Diurno;-;-; 09/27;1515 m;30 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0534;0;0;0;PA2019-0534;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBPF;RS0006;LAURO KURTZ;PASSO FUNDO;RS;28° 14' 39'' S;52° 19' 42'' W;725 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1680 m;30 m;PCN 36/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-3197;PA2022-7368;0;0;PA2013-3197;PA2022-7368;;;AP-1;Classe I;4ª;4C;NPA;43;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;PA2016-0908 / PA2018-0389 / PA2018-0390;-;-;-;;Restrição imposta pela PA2019-2371 foi suspensa pela PA2019-2427
SBPJ;TO0001;BRIGADEIRO LYSIAS RODRIGUES;PALMAS;TO;10° 17' 24'' S;48° 21' 28'' W;236 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 14/32;2500 m;45 m;PCN 48/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4223;0;0;0;PA2021-4223;;;;AP-1;Classe II;2ª;4C;NPA;N/A;PA2022-7426;-;PA2022-7426;-;-;-;-;X;-
SBPK;RS0005;JOÃO SIMÕES LOPES NETO;PELOTAS;RS;31° 42' 58'' S;52° 19' 52'' W;18 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL PAX/CARGA; 06/24;1980 m;42 m;PCN 35/R/B/W/T;Concreto; 15/33;1230 m;38 m;5700 kg / 0,62 MPa;Terra;-;-;-;-;-;-;-;-;-;-;PA2017-3710;0;0;0;PA2017-3710;;;;AP-1;Classe I;2ª;3C;NPA;13;-;PA2016-0908;-;PA2016-0908;-;-;-;;-
SBPL;PE0002;SENADOR NILO COELHO;PETROLINA;PE;9° 22' 3'' S;40° 33' 49'' W;384 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL CARGA; 13/31;3250 m;45 m;PCN 80/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6650;0;0;0;PA2021-6650;;;;AP-1;Classe II;2ª;4E;NPA;N/A;PA2017-3172;-;PA2017-3172;-;-;-;-;;-
SDPE;TO0003;PORTO NACIONAL;PORTO NACIONAL;TO;10° 43' 1'' S;48° 24' 1'' W;265 m;VFR Diurno;-;-; 05/23;1700 m;30 m;PCN 27/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-0535;0;0;0;PA2019-0535;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;X;-
SBPP;MS0005;PONTA PORÃ;PONTA PORÃ;MS;22° 32' 59'' S;55° 42' 11'' W;657 m;VFR Diurno e IFR Diurno/Noturno;RNS;INTL PAX/CARGA; 04/22;2000 m;45 m;PCN 40/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-1185;0;0;0;PA2013-1185;;;;AP-1;Classe I;3ª;3C;NPA;N/A;PA2021-6788;-;PA2021-6788;-;-;-;-;;-
SBPR;MG0005;CARLOS PRATES;BELO HORIZONTE;MG;19° 54' 33'' S;43° 59' 21'' W;928 m;VFR Diurno;-;-; 09/27;868 m;18 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-2499;0;0;0;PA2014-2499;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-
SBPS;BA0002;PORTO SEGURO;PORTO SEGURO;BA;16° 26' 17'' S;39° 4' 40'' W;51 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX; 10/28;2000 m;45 m;PCN 44/R/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1993-0152;PD1994-0015;PD1998-0299;0;PD1993-0152;PD1994-0015;PD1998-0299;;AP-2;Classe III;2ª;4C;"NPA(10;28)";N/A;PA2017-2276;-;PA2017-2276;-;-;-;-;;-
SBPV;RO0001;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PORTO VELHO;RO;8° 42' 49'' S;63° 54' 10'' W;88 m;VFR Diurno/Noturno e IFR Diurno/Noturno;AS;INTL PAX/CARGA; 18/36;2400 m;45 m;PCN 41/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1985-0080;PD2022-7087;0;0;PD1985-0080;PD2022-7087;;;AP-2;Classe II;2ª;4D;NPA;5;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBRB;AC0001;PLÁCIDO DE CASTRO;RIO BRANCO;AC;9° 52' 6'' S;67° 53' 53'' W;193 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS/AS;INTL PAX; 06/24;2158 m;45 m;PCN 78/F/D/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2577;0;0;0;PA2018-2577;;;;AP-1;Classe II;2ª;4C;PA1;37;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-
SBRD;MT0004;RONDONÓPOLIS - MAESTRO MARINHO FRANCO;RONDONÓPOLIS;MT;16° 35' 17'' S;54° 43' 18'' W;447 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1850 m;30 m;PCN 35/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3190;0;0;0;PA2018-3190;;;;AP-1;Classe I;3ª;3C;NPA;N/A;PA2021-6533;-;PA2021-6533;-;-;-;-;X;-
SBRF;PE0001;GUARARAPES - GILBERTO FREYRE;RECIFE;PE;8° 7' 35'' S;34° 55' 22'' W;10 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 18/36;3007 m;45 m;PCN 72/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-1297;0;0;0;PA2013-1297;;;;AP-3;Classe IV;1ª;4E;PA1(18) / NPA(36);N/A;PA2022-7387;-;PA2022-7387;-;-;-;-;;-
SBRJ;RJ0002;SANTOS DUMONT;RIO DE JANEIRO;RJ;22° 54' 36'' S;43° 9' 45'' W;3 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 2R/20L;1323 m;42 m;PCN 65/F/A/W/T;Asfalto; 2L/20R;1260 m;30 m;PCN 39/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2014-1562;0;0;0;PA2014-1562;;;;AP-3;Classe IV;1ª;4C;-;Ver Portaria;-;PA2016-1046;-;PA2016-1046;-;-;-;;-
SBRP;SP0004;LEITE LOPES;RIBEIRÃO PRETO;SP;21° 8' 11'' S;47° 46' 36'' W;550 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RNS;INTL CARGA; 18/36;2100 m;45 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1983-0028;PD1991-0240;0;0;PD1983-0028;PD1991-0240;;;AP-1;Classe II;2ª;4C;-;Ver Portaria;-;PA2017-0447;-;PA2017-0447;-;-;-;;-
